Collision_ID,Crash_Date,Vehicle_Type
4463656,01-10-2021 13:00,Bus
4463335,01-10-2021 13:02,SUV
4463161,01-10-2021 13:02,SUV
4464110,01-10-2021 13:05,Sedan
4463543,01-10-2021 13:06,SUV
4463773,01-10-2021 13:08,Sedan
4463626,01-10-2021 13:10,SUV
4463774,01-10-2021 13:14,Sedan
4463670,01-10-2021 13:19,SUV
4463981,01-10-2021 13:22,Sedan
4463758,01-10-2021 13:25,Sedan
4463681,01-10-2021 13:29,SUV
4463190,01-10-2021 13:29,Heavy Vehicle
4463989,01-10-2021 13:30,Two Wheeler
4463892,01-10-2021 13:30,Sedan
4463263,01-10-2021 13:35,Sedan
4463160,01-10-2021 13:37,Two Wheeler
4465822,01-10-2021 13:40,SUV
4463141,01-10-2021 13:45,Sedan
4463248,01-10-2021 13:48,SUV
4463985,01-10-2021 13:50,SUV
4464626,01-10-2021 14:00,Two Wheeler
4463390,01-10-2021 14:00,Sedan
4463300,01-10-2021 14:00,SUV
4463217,01-10-2021 14:00,SUV
4463967,01-10-2021 14:00,SUV
4464145,01-10-2021 14:05,SUV
4463193,01-10-2021 14:10,Bus
4463423,01-10-2021 14:10,Sedan
4464154,01-10-2021 14:17,Sedan
4463525,01-10-2021 14:20,Two Wheeler
4464026,01-10-2021 14:20,Heavy Vehicle
4463760,01-10-2021 14:22,Heavy Vehicle
4466930,01-10-2021 14:25,SUV
4463298,01-10-2021 14:25,Sedan
4463400,01-10-2021 14:25,SUV
4463927,01-10-2021 14:30,SUV
4464023,01-10-2021 14:30,Sedan
4463844,01-10-2021 14:36,Sedan
4463895,01-10-2021 14:37,Two Wheeler
4464188,01-10-2021 14:42,SUV
4463214,01-10-2021 14:58,Sedan
4463219,01-10-2021 15:00,Sedan
4464015,01-10-2021 15:00,Sedan
4463657,01-10-2021 15:00,SUV
4463208,01-10-2021 15:05,Sedan
4464140,01-10-2021 15:06,Sedan
4463690,01-10-2021 15:10,Two Wheeler
4463211,01-10-2021 15:10,Sedan
4465971,01-10-2021 15:15,Commercial Vehicle
4464667,01-10-2021 15:15,Heavy Vehicle
4464687,01-10-2021 15:15,SUV
4464548,01-10-2021 15:15,SUV
4463542,01-10-2021 15:15,SUV
4463267,01-10-2021 15:20,Sedan
4463264,01-10-2021 15:25,SUV
4464953,01-10-2021 15:30,SUV
4463238,01-10-2021 15:30,SUV
4469613,01-10-2021 15:32,SUV
4464022,01-10-2021 15:38,SUV
4464180,01-10-2021 15:40,SUV
4463682,01-10-2021 15:43,Sedan
4463431,01-10-2021 15:50,Sedan
4464031,01-10-2021 15:50,Sedan
4464523,01-10-2021 15:55,SUV
4463510,01-10-2021 16:00,SUV
4463224,01-10-2021 16:00,SUV
4463306,01-10-2021 16:09,SUV
4464021,01-10-2021 16:11,Sedan
4464558,01-10-2021 16:15,Two Wheeler
4463225,01-10-2021 16:15,Sedan
4463702,01-10-2021 16:19,Two Wheeler
4464465,01-10-2021 16:20,Two Wheeler
4463836,01-10-2021 16:20,SUV
4463855,01-10-2021 16:25,Heavy Vehicle
4463385,01-10-2021 16:25,Two Wheeler
4463974,01-10-2021 16:29,Two Wheeler
4463617,01-10-2021 16:29,Sedan
4463853,01-10-2021 16:30,Sedan
4463279,01-10-2021 16:30,SUV
4465826,01-10-2021 16:32,Sedan
4465420,01-10-2021 16:37,SUV
4464044,01-10-2021 16:40,Sedan
4463194,01-10-2021 16:41,Two Wheeler
4463495,01-10-2021 16:44,Sedan
4463490,01-10-2021 16:45,Sedan
4463253,01-10-2021 16:48,Sedan
4463498,01-10-2021 17:00,Sedan
4464138,01-10-2021 17:00,SUV
4463235,01-10-2021 17:00,Sedan
4463942,01-10-2021 17:01,Sedan
4463244,01-10-2021 17:05,SUV
4464442,01-10-2021 17:10,Sedan
4473108,01-10-2021 17:15,SUV
4466597,01-10-2021 17:15,SUV
4465095,01-10-2021 17:15,SUV
4464030,01-10-2021 17:25,Sedan
4463296,01-10-2021 17:30,SUV
4464087,01-10-2021 17:31,SUV
4463216,01-10-2021 17:42,Two Wheeler
4463229,01-10-2021 17:43,Two Wheeler
4464018,01-10-2021 17:45,Sedan
4463215,01-10-2021 17:45,Sedan
4463703,01-10-2021 17:52,Commercial Vehicle
4465507,01-10-2021 18:00,SUV
4463257,01-10-2021 18:00,SUV
4464079,01-10-2021 18:00,Sedan
4463720,01-10-2021 18:00,SUV
4463469,01-10-2021 18:02,Taxi
4464235,01-10-2021 18:03,Sedan
4463857,01-10-2021 18:05,Sedan
4463817,01-10-2021 18:07,SUV
4464133,01-10-2021 18:10,SUV
4463599,01-10-2021 18:11,Sedan
4464486,01-10-2021 18:13,Sedan
4463588,01-10-2021 18:15,Sedan
4463943,01-10-2021 18:16,Heavy Vehicle
4465193,01-10-2021 18:19,Sedan
4464987,01-10-2021 18:20,Sedan
4464330,01-10-2021 18:30,SUV
4463278,01-10-2021 18:37,Sedan
4463233,01-10-2021 18:39,SUV
4463220,01-10-2021 18:41,Two Wheeler
4463284,01-10-2021 18:44,SUV
4463587,01-10-2021 18:50,Two Wheeler
4465532,01-10-2021 18:55,Sedan
4463383,01-10-2021 18:55,Sedan
4463793,01-10-2021 19:00,SUV
4463813,01-10-2021 19:00,SUV
4463358,01-10-2021 19:00,Heavy Vehicle
4464090,01-10-2021 19:00,SUV
4463269,01-10-2021 19:05,Sedan
4464865,01-10-2021 19:18,Sedan
4463450,01-10-2021 19:20,Sedan
4464661,01-10-2021 19:30,Sedan
4463295,01-10-2021 19:40,Sedan
4463270,01-10-2021 19:40,Sedan
4463255,01-10-2021 19:41,SUV
4463274,01-10-2021 19:43,Sedan
4463708,01-10-2021 19:45,SUV
4464731,01-10-2021 19:47,Sedan
4466956,01-10-2021 19:50,Sedan
4464794,01-10-2021 19:50,Sedan
4464367,01-10-2021 20:00,Sedan
4463339,01-10-2021 20:03,Two Wheeler
4463299,01-10-2021 20:13,SUV
4463790,01-10-2021 20:15,Two Wheeler
4463275,01-10-2021 20:15,Bus
4464122,01-10-2021 20:17,SUV
4464070,01-10-2021 20:18,SUV
4463858,01-10-2021 20:24,Sedan
4463803,01-10-2021 20:25,Sedan
4463367,01-10-2021 20:30,Sedan
4463411,01-10-2021 20:30,Two Wheeler
4463669,01-10-2021 20:34,SUV
4463761,01-10-2021 20:35,Two Wheeler
4463963,01-10-2021 20:45,SUV
4463845,01-10-2021 20:45,Sedan
4468067,01-10-2021 20:55,SUV
4463403,01-10-2021 20:56,Sedan
4463856,01-10-2021 21:07,Heavy Vehicle
4463355,01-10-2021 21:19,Taxi
4464274,01-10-2021 21:30,Sedan
4464168,01-10-2021 21:39,SUV
4463699,01-10-2021 21:40,SUV
4464351,01-10-2021 22:01,Sedan
4464834,01-10-2021 22:09,Two Wheeler
4463791,01-10-2021 22:09,SUV
4463366,01-10-2021 22:14,Two Wheeler
4464041,01-10-2021 22:30,Sedan
4463893,01-10-2021 22:30,Sedan
4464736,01-10-2021 22:34,Sedan
4463897,01-10-2021 22:36,Sedan
4463762,01-10-2021 22:40,Ambulance
4463511,01-10-2021 22:47,Two Wheeler
4463361,01-10-2021 22:50,SUV
4463334,01-10-2021 22:53,Sedan
4467224,01-10-2021 22:55,Sedan
4463286,01-10-2021 22:55,SUV
4463412,01-10-2021 22:55,SUV
4463562,01-10-2021 22:59,Sedan
4463579,01-10-2021 23:00,SUV
4463775,01-10-2021 23:35,Sedan
4463659,01-10-2021 23:40,Sedan
