Crash_Day,Crash_Date,Borough,Latitude,Longitude,Number_of_Persons_Injured,Aftermath of Accident,Number_of_Persons_Killed,Contributing_Factor,Collision_ID
Friday,01-10-2021 12:00,QUEENS,40.710464,-73.90898,0,No Injury,0,Passing Too Closely,4464669
Friday,01-10-2021 12:00,MANHATTAN,40.82523,-73.939735,0,No Injury,0,Driver Inattention,4464283
Friday,01-10-2021 12:10,BROOKLYN,40.59469,-73.92721,2,Injured,0,Driver Inexperience,4463696
Friday,01-10-2021 12:15,BROOKLYN,40.70736,-73.93978,0,No Injury,0,Driver Inattention,4463218
Friday,01-10-2021 12:30,MANHATTAN,40.80652,-73.944595,0,No Injury,0,Other Vehicular,4463313
Friday,01-10-2021 12:45,MANHATTAN,40.72475,-73.98043,0,No Injury,0,Passing Too Closely,4464634
Friday,01-10-2021 12:55,QUEENS,40.772114,-73.9349894,0,No Injury,0,Driver Inattention,4470004
Friday,01-10-2021 13:02,BROOKLYN,40.632847,-73.928375,4,Injured,0,Driver Inattention,4463161
Friday,01-10-2021 13:10,BROOKLYN,40.66153,-73.95149,0,No Injury,0,Driver Inattention,4463626
Friday,01-10-2021 13:19,QUEENS,40.699715,-73.79869,0,No Injury,0,Following Too Closely,4463670
Friday,01-10-2021 13:25,QUEENS,40.704006,-73.7668,1,Injured,0,Failure to Yield Right-of-Way,4463758
Friday,01-10-2021 13:30,MANHATTAN,40.751575,-73.982285,0,No Injury,0,Driver Inattention,4463989
Friday,01-10-2021 13:30,QUEENS,40.67725,-73.826096,0,No Injury,0,Passing or Lane Usage Improper,4463892
Friday,01-10-2021 13:37,MANHATTAN,40.799976,-73.958626,1,Injured,0,Passenger Distraction,4463160
Friday,01-10-2021 13:40,MANHATTAN,40.803726,-73.95376,0,No Injury,0,Turning Improperly,4465822
Friday,01-10-2021 13:48,BRONX,40.83236,-73.85329,0,No Injury,0,Driver Inattention,4463248
Friday,01-10-2021 14:00,BROOKLYN,40.683228,-73.907135,0,No Injury,0,Pedestrian Confusion,4464626
Friday,01-10-2021 14:00,BROOKLYN,40.64,-73.90194,0,No Injury,0,Driver Inattention,4463967
Friday,01-10-2021 14:00,QUEENS,40.657784,-73.77032,0,No Injury,0,Unsafe Lane Changing,4463217
Friday,01-10-2021 14:00,BROOKLYN,40.603058,-73.98261,1,Injured,0,Driver Inattention,4463300
Friday,01-10-2021 14:05,STATEN ISLAND,40.607605,-74.08843,0,No Injury,0,Turning Improperly,4464145
Friday,01-10-2021 14:10,BROOKLYN,40.64671,-73.95811,4,Injured,0,Road Rage,4463423
Friday,01-10-2021 14:10,MANHATTAN,40.760822,-73.99832,0,No Injury,0,Passing or Lane Usage Improper,4463193
Friday,01-10-2021 14:20,STATEN ISLAND,0,0,1,Injured,0,Driver Inattention,4463525
Friday,01-10-2021 14:25,QUEENS,40.72924,-73.8152,0,No Injury,0,Failure to Yield Right-of-Way,4463298
Friday,01-10-2021 14:25,BROOKLYN,40.60416,-73.99752,0,No Injury,0,Reaction to Uninvolved Vehicle,4463400
Friday,01-10-2021 14:28,BRONX,40.860344,-73.90713,1,Injured,0,Driver Inattention,4463428
Friday,01-10-2021 14:30,QUEENS,40.685463,-73.84747,1,Injured,0,Following Too Closely,4463927
Friday,01-10-2021 14:36,MANHATTAN,40.812603,-73.94567,2,Injured,0,Other Vehicular,4463844
Friday,01-10-2021 14:37,QUEENS,40.659878,-73.841095,1,Injured,0,Pedestrian Confusion,4463895
Friday,01-10-2021 15:00,QUEENS,40.67948,-73.75741,1,Injured,0,Following Too Closely,4463657
Friday,01-10-2021 15:00,BROOKLYN,40.713535,-73.96731,0,No Injury,0,Failure to Yield Right-of-Way,4463219
Friday,01-10-2021 15:05,BRONX,40.816406,-73.92778,0,No Injury,0,Other Vehicular,4463208
Friday,01-10-2021 15:06,BROOKLYN,40.688488,-73.91636,0,No Injury,0,Turning Improperly,4464140
Friday,01-10-2021 15:15,QUEENS,40.745598,-73.864296,0,No Injury,0,Driver Inattention,4464548
Friday,01-10-2021 15:15,BROOKLYN,40.68963,-73.98575,0,No Injury,0,Following Too Closely,4463542
Friday,01-10-2021 15:20,QUEENS,40.754803,-73.84501,0,No Injury,0,Backing Unsafely,4463267
Friday,01-10-2021 15:25,QUEENS,40.745033,-73.87153,0,No Injury,0,Alcohol Involvement,4463264
Friday,01-10-2021 15:30,BRONX,40.82768,-73.866356,0,No Injury,0,Turning Improperly,4463238
