Crash_Day,Crash_Date,Borough,Latitude,Longitude,Number_of_Persons_Injured,Aftermath of Accident,Number_of_Persons_Killed,Contributing_Factor,Collision_ID
Saturday,02-10-2021 13:38,BROOKLYN,40.5792123,-73.9762585,0,No Injury,0,Driver Inattention,4470096
Saturday,02-10-2021 13:40,BROOKLYN,40.597923,-73.9872,0,No Injury,0,Driver Inattention,4465598
Saturday,02-10-2021 13:40,QUEENS,40.75184,-73.94806,0,No Injury,0,Backing Unsafely,4464632
Saturday,02-10-2021 13:40,BROOKLYN,40.713085,-73.94415,1,Injured,0,Road Rage,4463550
Saturday,02-10-2021 13:45,BROOKLYN,0,0,0,No Injury,0,Driver Inattention,4465923
Saturday,02-10-2021 13:49,MANHATTAN,0,0,1,Injured,0,Turning Improperly,4464237
Saturday,02-10-2021 14:00,QUEENS,40.6955916,-73.742008,0,No Injury,0,Driver Inattention,4463565
Saturday,02-10-2021 14:20,BRONX,0,0,1,Injured,0,Driver Inattention,4463506
Saturday,02-10-2021 14:30,QUEENS,0,0,2,Injured,0,Failure to Yield Right-of-Way,4463664
Saturday,02-10-2021 14:34,BRONX,40.891384,-73.83929,0,No Injury,0,Backing Unsafely,4463606
Saturday,02-10-2021 14:57,BROOKLYN,0,0,1,Injured,0,Driver Inattention,4463572
Saturday,02-10-2021 15:05,BROOKLYN,0,0,1,Injured,0,Driver Inattention,4463837
Saturday,02-10-2021 15:15,BROOKLYN,0,0,1,Injured,0,Failure to Yield Right-of-Way,4463739
Saturday,02-10-2021 15:28,BRONX,0,0,0,No Injury,0,Driver Inattention,4463864
Saturday,02-10-2021 15:45,BROOKLYN,0,0,0,No Injury,0,Driver Inattention,4465609
Saturday,02-10-2021 15:48,MANHATTAN,40.816286,-73.9568076,0,No Injury,0,Passing Too Closely,4470331
Saturday,02-10-2021 15:50,BRONX,0,0,0,No Injury,0,Following Too Closely,4465817
Saturday,02-10-2021 15:58,QUEENS,40.7016303,-73.8404963,0,No Injury,0,Backing Unsafely,4463906
Saturday,02-10-2021 16:00,BROOKLYN,0,0,0,No Injury,0,Driver Inattention,4463549
Saturday,02-10-2021 16:05,BROOKLYN,0,0,0,No Injury,0,Driver Inattention,4463528
Saturday,02-10-2021 16:10,QUEENS,0,0,0,No Injury,0,Turning Improperly,4464302
Saturday,02-10-2021 16:25,BRONX,40.88437,-73.90105,0,No Injury,0,Traffic Control Disregarded,4463584
Saturday,02-10-2021 16:35,MANHATTAN,0,0,1,Injured,0,Passing or Lane Usage Improper,4463998
Saturday,02-10-2021 16:39,BROOKLYN,0,0,0,No Injury,0,Driver Inattention,4464097
Saturday,02-10-2021 16:40,BRONX,0,0,2,Injured,0,Traffic Control Disregarded,4465037
Saturday,02-10-2021 16:41,MANHATTAN,0,0,0,No Injury,0,Passenger Distraction,4463610
Saturday,02-10-2021 16:48,BRONX,0,0,0,No Injury,0,Driver Inattention,4464027
Saturday,02-10-2021 16:50,MANHATTAN,40.872314,-73.91274,2,Injured,0,Driver Inattention,4463595
Saturday,02-10-2021 16:57,QUEENS,40.76268,-73.77052,0,No Injury,0,Passing or Lane Usage Improper,4464131
Saturday,02-10-2021 17:07,QUEENS,0,0,0,No Injury,0,Passing or Lane Usage Improper,4463671
Saturday,02-10-2021 17:15,MANHATTAN,40.747852,-73.99291,0,No Injury,0,Driver Inattention,4463990
Saturday,02-10-2021 17:35,MANHATTAN,40.733288,-74.005,1,Injured,0,Driver Inexperience,4463939
Saturday,02-10-2021 17:50,BROOKLYN,40.719215,-73.95701,0,No Injury,0,Passing Too Closely,4463815
Saturday,02-10-2021 18:00,BRONX,40.814594,-73.88588,0,No Injury,0,Turning Improperly,4463613
Saturday,02-10-2021 18:33,BROOKLYN,40.63174,-73.90532,0,No Injury,0,Driver Inexperience,4463961
Saturday,02-10-2021 18:55,QUEENS,40.757183,-73.85503,1,Injured,0,Driver Inattention,4463575
Saturday,02-10-2021 19:09,QUEENS,40.68542,-73.76526,1,Injured,0,Following Too Closely,4463666
Saturday,02-10-2021 19:10,BRONX,40.801624,-73.90968,1,Injured,0,Other Vehicular,4463871
Saturday,02-10-2021 19:12,QUEENS,40.76522,-73.8719,1,Injured,0,Driver Inattention,4463560
Saturday,02-10-2021 19:13,STATEN ISLAND,40.558887,-74.1977,1,Injured,0,Driver Inattention,4466178
Saturday,02-10-2021 19:15,BROOKLYN,40.62037,-73.96538,0,No Injury,0,Driver Inattention,4464696
Saturday,02-10-2021 19:15,BROOKLYN,40.682915,-73.96416,1,Injured,0,View Obstructed,4463608
Saturday,02-10-2021 19:23,BRONX,40.868694,-73.90237,0,No Injury,0,Reaction to Uninvolved Vehicle,4464069
Saturday,02-10-2021 19:26,BROOKLYN,40.65723,-73.96025,0,No Injury,0,Driver Inattention,4463624
Saturday,02-10-2021 19:30,MANHATTAN,40.76687,-73.959785,0,No Injury,0,Following Too Closely,4463724
Saturday,02-10-2021 19:34,QUEENS,40.76077,-73.91756,1,Injured,0,Backing Unsafely,4463695
Saturday,02-10-2021 19:35,QUEENS,40.684208,-73.86646,0,No Injury,0,Passing or Lane Usage Improper,4463929
Saturday,02-10-2021 19:35,QUEENS,40.748013,-73.889755,0,No Injury,0,Driver Inattention,4463568
Saturday,02-10-2021 19:45,MANHATTAN,40.77592,-73.95317,0,No Injury,0,Passing or Lane Usage Improper,4463742
Saturday,02-10-2021 19:50,MANHATTAN,40.74461,-73.996895,2,Injured,0,Turning Improperly,4463912
Saturday,02-10-2021 19:51,MANHATTAN,40.80327,-73.95812,1,Injured,0,Driver Inattention,4464326
Saturday,02-10-2021 19:54,QUEENS,40.776546,-73.92377,0,No Injury,0,Driver Inattention,4464905
Saturday,02-10-2021 19:55,BROOKLYN,40.70658,-73.954346,1,Injured,0,Failure to Yield Right-of-Way,4463596
Saturday,02-10-2021 20:00,STATEN ISLAND,40.5303802,-74.186741,1,Injured,0,Alcohol Involvement,4469524
Saturday,02-10-2021 20:15,STATEN ISLAND,40.59265,-74.10083,1,Injured,0,Following Too Closely,4464037
Saturday,02-10-2021 20:20,BROOKLYN,40.677406,-73.983055,1,Injured,0,Failure to Yield Right-of-Way,4463648
Saturday,02-10-2021 20:30,BRONX,40.83215,-73.84932,0,No Injury,0,Alcohol Involvement,4463968
Saturday,02-10-2021 20:32,BROOKLYN,40.69419,-73.976,1,Injured,0,Passing or Lane Usage Improper,4464136
Saturday,02-10-2021 20:34,BROOKLYN,40.642624,-73.97987,0,No Injury,0,Unsafe Lane Changing,4464196
Saturday,02-10-2021 20:40,QUEENS,40.734768,-73.87459,0,No Injury,0,Driver Inattention,4463604
Saturday,02-10-2021 21:04,BRONX,40.82364,-73.89391,0,No Injury,0,Driver Inattention,4463616
Saturday,02-10-2021 21:20,BROOKLYN,40.721703,-73.95065,0,No Injury,0,Traffic Control Disregarded,4464190
Saturday,02-10-2021 21:30,BROOKLYN,40.711834,-73.95215,0,No Injury,0,Driver Inattention,4464909
Saturday,02-10-2021 21:30,QUEENS,40.751545,-73.87085,1,Injured,0,Driver Inattention,4463602
Saturday,02-10-2021 21:30,BROOKLYN,40.63415,-74.02964,0,No Injury,0,Driver Inattention,4463634
Saturday,02-10-2021 21:50,BROOKLYN,40.683567,-73.94106,0,No Injury,0,Unsafe Speed,4478280
Saturday,02-10-2021 22:00,MANHATTAN,40.83983,-73.94236,1,Injured,0,Driver Inattention,4466098
Saturday,02-10-2021 22:20,MANHATTAN,40.83406,-73.944885,1,Injured,0,Driver Inexperience,4463609
Saturday,02-10-2021 22:21,BROOKLYN,40.627598,-74.03821,0,No Injury,0,Reaction to Uninvolved Vehicle,4463633
Saturday,02-10-2021 22:24,BROOKLYN,40.684414,-73.869514,1,Injured,0,Driver Inattention,4463779
Saturday,02-10-2021 22:25,MANHATTAN,40.760857,-73.961075,0,No Injury,0,Driver Inattention,4463680
Saturday,02-10-2021 22:30,BROOKLYN,40.64638,-73.9288,2,Injured,0,View Obstructed,4465534
Saturday,02-10-2021 22:30,STATEN ISLAND,40.57917,-74.10106,0,No Injury,0,Turning Improperly,4464494
Saturday,02-10-2021 22:30,BROOKLYN,40.720013,-73.96204,0,No Injury,0,Driver Inattention,4463883
Saturday,02-10-2021 22:30,MANHATTAN,40.8645,-73.91904,0,No Injury,0,Driver Inattention,4464371
Saturday,02-10-2021 22:38,BROOKLYN,40.64313,-73.95044,0,No Injury,0,Backing Unsafely,4464065
Saturday,02-10-2021 22:45,QUEENS,40.758106,-73.85721,0,No Injury,0,Driver Inattention,4463909
Saturday,02-10-2021 23:00,BROOKLYN,40.71258,-73.958115,0,No Injury,0,Following Too Closely,4463931
Saturday,02-10-2021 23:00,BRONX,40.82615,-73.87766,0,No Injury,0,Alcohol Involvement,4464092
Saturday,02-10-2021 23:04,QUEENS,40.66723,-73.785034,0,No Injury,0,Driver Inexperience,4464585
Saturday,02-10-2021 23:10,QUEENS,40.681923,-73.831924,0,No Injury,0,Driver Inattention,4463887
Saturday,02-10-2021 23:30,BRONX,40.845985,-73.884476,1,Injured,0,Driver Inattention,4464255
Saturday,02-10-2021 23:35,BROOKLYN,40.68837,-73.9449102,1,Injured,0,Traffic Control Disregarded,4469745
Saturday,03-10-2021 00:00,QUEENS,40.730762,-73.89668,0,No Injury,0,Driver Inattention,4474915
Saturday,03-10-2021 00:00,QUEENS,40.60702,-73.81943,1,Injured,0,Pedestrian Confusion,4464078
Saturday,03-10-2021 00:15,QUEENS,40.682343,-73.84005,0,No Injury,0,Alcohol Involvement,4463727
Sunday,03-10-2021 00:17,BRONX,40.83552,-73.840996,0,No Injury,0,Road Rage,4464344
Sunday,03-10-2021 00:57,BRONX,40.812077,-73.88681,3,Injured,0,Following Too Closely,4463901
Sunday,03-10-2021 01:05,BRONX,40.83552,-73.840996,0,No Injury,0,Driver Inexperience,4463935
Sunday,03-10-2021 01:05,BROOKLYN,40.627247,-74.01429,0,No Injury,0,Driver Inattention,4463900
Sunday,03-10-2021 01:35,QUEENS,40.739964,-73.89424,1,Injured,0,Alcohol Involvement,4464053
Sunday,03-10-2021 02:30,QUEENS,40.741013,-73.87057,0,No Injury,0,Passing Too Closely,4463970
Sunday,03-10-2021 03:55,QUEENS,40.746845,-73.89144,0,No Injury,0,Failure to Yield Right-of-Way,4463913
Sunday,03-10-2021 04:00,QUEENS,40.7456,-73.868095,1,Injured,0,Failure to Yield Right-of-Way,4463951
Sunday,03-10-2021 04:00,BROOKLYN,40.627518,-74.010704,0,No Injury,0,Unsafe Speed,4463821
Sunday,03-10-2021 04:34,BROOKLYN,40.634945,-73.9325,0,No Injury,0,Following Too Closely,4464157
Sunday,03-10-2021 05:00,BROOKLYN,40.606544,-73.98906,0,No Injury,0,Driver Inattention,4464129
Sunday,03-10-2021 05:34,MANHATTAN,40.867276,-73.9192147,0,No Injury,0,Driver Inattention,4468227
Sunday,03-10-2021 06:00,QUEENS,40.7014946,-73.9054655,0,No Injury,0,Traffic Control Disregarded,4464672
Sunday,03-10-2021 06:45,BRONX,40.8240665,-73.9087095,1,Injured,0,View Obstructed,4463993
Sunday,03-10-2021 07:07,BROOKLYN,40.607147,-74.01157,1,Injured,0,Traffic Control Disregarded,4463955
Sunday,03-10-2021 07:33,BRONX,40.8161389,-73.8948691,0,No Injury,0,Passing or Lane Usage Improper,4467355
Sunday,03-10-2021 07:35,QUEENS,40.709255,-73.75004,1,Injured,0,Traffic Control Disregarded,4464039
Sunday,03-10-2021 07:40,BRONX,40.8184304,-73.9210458,0,No Injury,0,Unsafe Speed,4464223
Sunday,03-10-2021 07:40,MANHATTAN,40.83263,-73.93544,0,No Injury,0,Passing Too Closely,4464292
Sunday,03-10-2021 07:40,BROOKLYN,40.694576,-73.95615,1,Injured,0,Driver Inattention,4464378
Sunday,03-10-2021 07:45,BRONX,40.843174,-73.91196,0,No Injury,0,Following Too Closely,4464613
Sunday,03-10-2021 07:55,BROOKLYN,40.67584,-73.91655,1,Injured,0,Failure to Yield Right-of-Way,4464220
Sunday,03-10-2021 08:00,BRONX,40.830875,-73.83435,0,No Injury,0,Reaction to Uninvolved Vehicle,4464047
Sunday,03-10-2021 08:00,BROOKLYN,40.680367,-73.92226,0,No Injury,0,Driver Inattention,4464404
Sunday,03-10-2021 08:15,QUEENS,40.72773,-73.90674,0,No Injury,0,Backing Unsafely,4464607
Sunday,03-10-2021 08:25,STATEN ISLAND,40.55301,-74.16008,0,No Injury,0,Reaction to Uninvolved Vehicle,4464043
Sunday,03-10-2021 08:30,QUEENS,40.781647,-73.8367,2,Injured,0,Oversized Vehicle,4464186
Sunday,03-10-2021 08:30,QUEENS,40.73984,-73.89766,0,No Injury,0,View Obstructed,4464052
Sunday,03-10-2021 08:30,BROOKLYN,40.680202,-73.934525,0,No Injury,0,View Obstructed,4464394
Sunday,03-10-2021 08:30,QUEENS,40.78534,-73.843925,0,No Injury,0,Driver Inattention,4464816
Sunday,03-10-2021 08:30,QUEENS,40.72611,-73.82106,0,No Injury,0,Driver Inattention,4464395
Sunday,03-10-2021 08:35,BROOKLYN,40.64993,-73.93312,1,Injured,0,Driver Inattention,4464076
Sunday,03-10-2021 09:00,BRONX,40.89725,-73.855255,1,Injured,0,Unsafe Speed,4464068
Sunday,03-10-2021 09:04,BRONX,40.83283,-73.91129,0,No Injury,0,Driver Inattention,4464241
Sunday,03-10-2021 09:15,BROOKLYN,40.67043,-73.928185,1,Injured,0,Passing or Lane Usage Improper,4465763
Sunday,03-10-2021 09:19,BROOKLYN,40.667507,-73.88007,1,Injured,0,Driver Inattention,4464111
Sunday,03-10-2021 09:20,BROOKLYN,40.68218,-73.94659,1,Injured,0,Failure to Yield Right-of-Way,4465770
Sunday,03-10-2021 09:25,STATEN ISLAND,40.57925,-74.07781,0,No Injury,0,Following Too Closely,4464363
Sunday,03-10-2021 09:30,BROOKLYN,40.67455,-73.89551,0,No Injury,0,Driver Inexperience,4464004
Sunday,03-10-2021 09:50,BROOKLYN,40.617004,-74.00659,0,No Injury,0,Driver Inattention,4463958
Sunday,03-10-2021 10:00,BROOKLYN,40.699684,-73.97944,1,Injured,0,Following Too Closely,4464121
Sunday,03-10-2021 10:15,QUEENS,40.776188,-73.90596,0,No Injury,0,Driver Inattention,4464574
Sunday,03-10-2021 10:30,QUEENS,40.713436,-73.76119,1,Injured,0,Unsafe Speed,4463964
Sunday,03-10-2021 10:40,MANHATTAN,40.73131,-73.984665,1,Injured,0,Pedestrian Confusion,4464518
Sunday,03-10-2021 10:40,MANHATTAN,40.79507,-73.93919,0,No Injury,0,Following Too Closely,4464724
Sunday,03-10-2021 10:50,BROOKLYN,40.62685,-73.91907,0,No Injury,0,Driver Inattention,4464392
Sunday,03-10-2021 11:01,MANHATTAN,40.75898,-73.96244,1,Injured,0,Driver Inattention,4464149
Sunday,03-10-2021 11:15,BROOKLYN,40.70915,-73.93955,0,No Injury,0,Driver Inattention,4464899
Sunday,03-10-2021 11:36,BRONX,40.842594,-73.89305,0,No Injury,0,Passing Too Closely,4464260
Sunday,03-10-2021 11:40,BRONX,40.85305,-73.852356,0,No Injury,0,Driver Inattention,4464307
Sunday,03-10-2021 11:55,STATEN ISLAND,40.615395,-74.06583,0,No Injury,0,Failure to Keep Right,4464675
Sunday,03-10-2021 11:57,MANHATTAN,40.809086,-73.94859,0,No Injury,0,Driver Inattention,4464048
Sunday,03-10-2021 12:00,QUEENS,40.57924,-73.84483,1,Injured,0,Failure to Yield Right-of-Way,4464082
Sunday,03-10-2021 12:14,BROOKLYN,40.71058,-73.96643,0,No Injury,0,Driver Inattention,4464214
Sunday,03-10-2021 12:15,BROOKLYN,40.73398,-73.95995,0,No Injury,0,Backing Unsafely,4464262
Sunday,03-10-2021 12:15,BROOKLYN,40.72757,-73.94388,0,No Injury,0,Passing Too Closely,4463994
Sunday,03-10-2021 12:27,QUEENS,40.699635,-73.80312,0,No Injury,0,Passing Too Closely,4464056
Sunday,03-10-2021 12:30,BROOKLYN,40.668327,-73.869606,0,No Injury,0,Passing or Lane Usage Improper,4464383
Sunday,03-10-2021 12:45,BROOKLYN,40.61872,-73.96945,0,No Injury,0,Driver Inattention,4464429
Sunday,03-10-2021 13:10,QUEENS,40.7489432,-73.8726683,0,No Injury,0,Driver Inattention,4469254
Sunday,03-10-2021 13:10,BROOKLYN,40.6099823,-73.921878,9,Injured,0,Unsafe Speed,4464357
Sunday,03-10-2021 13:30,MANHATTAN,40.750763,-73.97445,0,No Injury,0,Passing or Lane Usage Improper,4464061
Sunday,03-10-2021 13:40,BRONX,40.81937,-73.884285,0,No Injury,0,Passing Too Closely,4464555
Sunday,03-10-2021 14:05,MANHATTAN,40.8468032,-73.9318503,0,No Injury,0,Driver Inattention,4466461
Sunday,03-10-2021 14:15,QUEENS,40.741714,-73.90634,1,Injured,0,Failure to Yield Right-of-Way,4464601
Sunday,03-10-2021 14:19,BRONX,40.838997,-73.91073,0,No Injury,0,Traffic Control Disregarded,4464611
Sunday,03-10-2021 14:20,QUEENS,40.735245,-73.82388,0,No Injury,0,Pavement Slippery,4465707
Sunday,03-10-2021 14:21,QUEENS,40.695827,-73.855385,0,No Injury,0,Oversized Vehicle,4464269
Sunday,03-10-2021 14:22,QUEENS,40.679783,-73.83087,0,No Injury,0,Passing or Lane Usage Improper,4464209
Sunday,03-10-2021 14:35,QUEENS,40.7684,-73.73755,0,No Injury,0,Driver Inattention,4464273
Sunday,03-10-2021 14:45,QUEENS,40.675312,-73.777145,0,No Injury,0,Passing Too Closely,4464713
Sunday,03-10-2021 14:50,MANHATTAN,40.79119,-73.965645,0,No Injury,0,Passing or Lane Usage Improper,4464059
Sunday,03-10-2021 15:00,BRONX,40.844902,-73.89011,0,No Injury,0,Driver Inattention,4464267
Sunday,03-10-2021 15:00,QUEENS,40.772346,-73.826584,1,Injured,0,Backing Unsafely,4464187
Sunday,03-10-2021 15:00,MANHATTAN,40.711777,-73.99971,0,No Injury,0,Driver Inattention,4464681
Sunday,03-10-2021 15:14,MANHATTAN,40.73669,-73.993126,1,Injured,0,Brakes Defective,4465672
Sunday,03-10-2021 15:25,BROOKLYN,40.648182,-73.93001,0,No Injury,0,Passing or Lane Usage Improper,4464104
Sunday,03-10-2021 15:27,BROOKLYN,40.608078,-73.979706,1,Injured,0,Driver Inattention,4472907
Sunday,03-10-2021 15:30,BROOKLYN,40.71137,-73.936966,0,No Injury,0,Driver Inattention,4464216
Sunday,03-10-2021 15:37,QUEENS,40.747704,-73.75447,0,No Injury,0,Backing Unsafely,4464708
Sunday,03-10-2021 15:42,MANHATTAN,40.7697502,-73.9606016,1,Killed,1,Driver Inattention,4464559
Sunday,03-10-2021 15:50,QUEENS,40.708668,-73.80393,0,No Injury,0,Failure to Yield Right-of-Way,4464980
Sunday,03-10-2021 15:50,BRONX,40.84678,-73.85526,0,No Injury,0,Other Vehicular,4464730
Sunday,03-10-2021 15:55,BRONX,40.857525,-73.8818,1,Injured,0,Driver Inattention,4464279
Sunday,03-10-2021 15:58,BRONX,40.84353,-73.85687,1,Injured,0,Failure to Yield Right-of-Way,4465340
Sunday,03-10-2021 15:58,QUEENS,40.76295,-73.83196,1,Injured,0,Following Too Closely,4464810
Sunday,03-10-2021 16:00,BROOKLYN,40.703655,-73.960594,0,No Injury,0,Following Too Closely,4464516
Sunday,03-10-2021 16:00,BRONX,40.87451,-73.85745,1,Injured,0,Driver Inattention,4464412
Sunday,03-10-2021 16:05,MANHATTAN,40.7553,-73.97535,0,No Injury,0,Traffic Control Disregarded,4464253
Sunday,03-10-2021 16:13,BROOKLYN,40.6221,-73.956955,1,Injured,0,Backing Unsafely,4464745
Sunday,03-10-2021 16:20,BRONX,40.82054,-73.930786,0,No Injury,0,Backing Unsafely,4464245
Sunday,03-10-2021 16:25,BROOKLYN,40.696033,-73.984535,0,No Injury,0,Following Too Closely,4464118
Sunday,03-10-2021 16:40,BROOKLYN,40.714382,-73.93345,0,No Injury,0,Driver Inexperience,4464219
Sunday,03-10-2021 16:50,BROOKLYN,40.613388,-73.995995,0,No Injury,0,Driver Inexperience,4464084
Sunday,03-10-2021 16:56,BRONX,40.87367,-73.879234,1,Injured,0,Driver Inattention,4465482
Sunday,03-10-2021 17:00,BROOKLYN,40.696033,-73.984535,0,No Injury,0,Driver Inexperience,4464732
Sunday,03-10-2021 17:00,BROOKLYN,40.70518,-73.95934,0,No Injury,0,Passing or Lane Usage Improper,4464517
Sunday,03-10-2021 17:00,QUEENS,40.750717,-73.85877,0,No Injury,0,Driver Inattention,4464264
Sunday,03-10-2021 17:00,BROOKLYN,40.702023,-73.95583,1,Injured,0,Passing or Lane Usage Improper,4464514
Sunday,03-10-2021 17:10,QUEENS,40.69041,-73.7555643,2,Injured,0,Unsafe Speed,4464299
Sunday,03-10-2021 17:20,STATEN ISLAND,40.63416,-74.12194,2,Injured,0,Driver Inexperience,4464421
Sunday,03-10-2021 17:20,QUEENS,40.748764,-73.86311,1,Injured,0,Driver Inattention,4464228
Sunday,03-10-2021 17:25,BROOKLYN,40.675846,-73.945564,1,Injured,0,Driver Inattention,4465008
Sunday,03-10-2021 17:30,BRONX,40.859642,-73.90534,0,No Injury,0,Passing Too Closely,4464655
Sunday,03-10-2021 17:35,BROOKLYN,40.68993,-73.98148,1,Injured,0,View Obstructed,4464120
Sunday,03-10-2021 17:50,QUEENS,40.57981,-73.837204,0,No Injury,0,Reaction to Uninvolved Vehicle,4464115
Sunday,03-10-2021 17:51,MANHATTAN,40.761234,-73.96389,1,Injured,0,Driver Inattention,4464204
Sunday,03-10-2021 18:00,BROOKLYN,40.696785,-73.95659,0,No Injury,0,Driver Inattention,4464464
Sunday,03-10-2021 18:05,MANHATTAN,40.746037,-73.990524,1,Injured,0,Driver Inattention,4464246
Sunday,03-10-2021 18:30,MANHATTAN,40.7520589,-74.0009817,0,No Injury,0,Failure to Yield Right-of-Way,4466485
Sunday,03-10-2021 18:35,BROOKLYN,40.668774,-73.91693,0,No Injury,0,Unsafe Lane Changing,4464544
Sunday,03-10-2021 18:40,QUEENS,40.738644,-73.887314,0,No Injury,0,Following Too Closely,4464244
Sunday,03-10-2021 18:45,QUEENS,40.7664463,-73.8290893,0,No Injury,0,Passing Too Closely,4464444
Sunday,03-10-2021 18:50,BRONX,40.803677,-73.92209,1,Injured,0,Failure to Yield Right-of-Way,4464218
Sunday,03-10-2021 18:50,QUEENS,40.70898,-73.80418,1,Injured,0,Failure to Yield Right-of-Way,4464717
Sunday,03-10-2021 19:00,MANHATTAN,40.746536,-73.985954,2,Injured,0,Failure to Yield Right-of-Way,4464249
Sunday,03-10-2021 19:10,BRONX,40.8426295,-73.9059589,0,No Injury,0,Other Lighting Defects,4466673
Sunday,03-10-2021 19:20,MANHATTAN,40.826427,-73.950455,2,Injured,0,Failure to Yield Right-of-Way,4464595
Sunday,03-10-2021 19:20,QUEENS,40.65965,-73.773834,0,No Injury,0,Following Too Closely,4464177
Sunday,03-10-2021 19:28,BROOKLYN,40.5915855,-73.9737863,1,Injured,0,Driver Inattention,4464200
Sunday,03-10-2021 19:30,BROOKLYN,40.618324,-73.95719,0,No Injury,0,Driver Inattention,4464238
Sunday,03-10-2021 19:33,BROOKLYN,40.591255,-73.96378,1,Injured,0,Failure to Yield Right-of-Way,4464201
Sunday,03-10-2021 19:35,QUEENS,40.771347,-73.92285,1,Injured,0,Driver Inattention,4464584
Sunday,03-10-2021 19:40,BROOKLYN,40.69603,-73.9435263,1,Injured,0,Other Vehicular,4466806
Sunday,03-10-2021 19:46,QUEENS,40.742374,-73.88013,0,No Injury,0,Driver Inattention,4464247
Sunday,03-10-2021 19:50,BROOKLYN,40.71286,-73.96579,1,Injured,0,Failure to Yield Right-of-Way,4465484
Sunday,03-10-2021 19:55,QUEENS,40.67243,-73.75637,1,Injured,0,Driver Inattention,4464176
Sunday,03-10-2021 19:55,QUEENS,40.704006,-73.7668,1,Injured,0,Failure to Yield Right-of-Way,4464125
Sunday,03-10-2021 20:00,MANHATTAN,40.83937,-73.941536,0,No Injury,0,Driver Inattention,4475999
Sunday,03-10-2021 20:06,BROOKLYN,40.68085,-73.97112,1,Injured,0,Traffic Control Disregarded,4464317
Sunday,03-10-2021 20:11,QUEENS,40.68037,-73.84248,1,Injured,0,Backing Unsafely,4464202
Sunday,03-10-2021 20:15,STATEN ISLAND,40.5953,-74.06287,2,Injured,0,Driver Inattention,4464282
Sunday,03-10-2021 20:29,QUEENS,40.682987,-73.75459,0,No Injury,0,Traffic Control Disregarded,4478217
Sunday,03-10-2021 20:45,QUEENS,40.69931,-73.83157,0,No Injury,0,Driver Inattention,4464358
Sunday,03-10-2021 20:59,MANHATTAN,40.72136,-73.99716,1,Injured,0,Failure to Yield Right-of-Way,4464679
Sunday,03-10-2021 21:10,QUEENS,40.7015324,-73.8234023,1,Injured,0,Failure to Yield Right-of-Way,4466266
Sunday,03-10-2021 21:30,QUEENS,40.674744,-73.76368,0,No Injury,0,Reaction to Uninvolved Vehicle,4464291
Sunday,03-10-2021 21:59,MANHATTAN,40.86369,-73.91707,2,Injured,0,Failure to Yield Right-of-Way,4464396
Sunday,03-10-2021 22:00,QUEENS,40.70269,-73.78145,0,No Injury,0,Passing or Lane Usage Improper,4465280
Sunday,03-10-2021 22:00,BROOKLYN,40.647102,-74.007614,0,No Injury,0,Driver Inattention,4464991
Sunday,03-10-2021 22:23,BRONX,40.833424,-73.909,1,Injured,0,Turning Improperly,4464610
Sunday,03-10-2021 22:24,BROOKLYN,40.63018,-73.960175,2,Injured,0,Following Too Closely,4464240
Sunday,03-10-2021 22:36,BROOKLYN,40.61242,-73.94026,0,No Injury,0,Driver Inattention,4465406
Sunday,03-10-2021 23:00,BRONX,40.859642,-73.90534,1,Injured,0,Unsafe Speed,4465286
Sunday,03-10-2021 23:00,QUEENS,40.738964,-73.85273,0,No Injury,0,Driver Inattention,4464248
Sunday,04-10-2021 00:00,QUEENS,40.7110194,-73.8600706,0,No Injury,0,Driver Inattention,4466535
Sunday,04-10-2021 00:00,MANHATTAN,40.81151,-73.94649,0,No Injury,0,Other Vehicular,4464767
Sunday,04-10-2021 00:00,BRONX,40.847485,-73.90553,0,No Injury,0,Passing Too Closely,4464301
Monday,04-10-2021 00:00,STATEN ISLAND,40.582756,-74.13041,1,Injured,0,Pavement Slippery,4464281
Monday,04-10-2021 00:27,BRONX,40.8431749,-73.9119469,2,Injured,0,Traffic Control Disregarded,4467238
Monday,04-10-2021 00:47,BRONX,40.83648,-73.897736,0,No Injury,0,Other Vehicular,4464360
Monday,04-10-2021 01:00,QUEENS,40.712,-73.82546,0,No Injury,0,Driver Inattention,4464251
Monday,04-10-2021 03:00,STATEN ISLAND,40.629684,-74.11123,1,Injured,0,Animals Action,4464674
Monday,04-10-2021 03:00,STATEN ISLAND,40.57982,-74.13478,0,No Injury,0,Road Rage,4464195
Monday,04-10-2021 03:06,BROOKLYN,40.63739,-73.91038,1,Injured,0,Traffic Control Disregarded,4464509
Monday,04-10-2021 06:07,BRONX,40.859646,-73.86176,1,Injured,0,Driver Inattention,4464313
Monday,04-10-2021 06:20,QUEENS,40.758343,-73.73062,0,No Injury,0,Pavement Slippery,4464263
Monday,04-10-2021 06:25,STATEN ISLAND,40.619728,-74.08358,0,No Injury,0,Driver Inattention,4464695
Monday,04-10-2021 06:40,QUEENS,40.721485,-73.873924,3,Injured,0,Drugs (illegal),4464426
Monday,04-10-2021 07:20,BROOKLYN,40.620125,-73.94081,0,No Injury,0,Passing or Lane Usage Improper,4464355
Monday,04-10-2021 07:20,MANHATTAN,40.73722,-73.9814,0,No Injury,0,Failure to Yield Right-of-Way,4464329
Monday,04-10-2021 07:35,BROOKLYN,40.672607,-73.89992,2,Injured,0,Unsafe Speed,4464451
